version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 5,domains: science
,
Word,Domain,Grade,Grade 5 Frequency
electron,science,5,45
resistance,science,5,22
proton,science,5,19
nonmetal,science,5,17
sodium,science,5,16
vascular,science,5,15
animation,science,5,14
phylum,science,5,14
artery,science,5,13
niche,science,5,13
respiration,science,5,13
vein,science,5,13
infrared,science,5,12
malaria,science,5,12
asexual,science,5,11
capillary,science,5,11
circulation,science,5,11
kidney,science,5,11
atomic,science,5,10
behavioral,science,5,10
exert,science,5,10
ion,science,5,10
resistor,science,5,10
biomass,science,5,9
compression,science,5,9
embryo,science,5,9
helium,science,5,9
interaction,science,5,9
multicellular,science,5,9
neutron,science,5,9
phloem,science,5,9
prosthetic,science,5,9
xylem,science,5,9
chemistry,science,5,8
chloride,science,5,8
contour,science,5,8
gland,science,5,8
gravitational,science,5,8
membrane,science,5,8
metalloid,science,5,8
pollutant,science,5,8
rainforest,science,5,8
recessive,science,5,8
sac,science,5,8
transmit,science,5,8
anaconda,science,5,7
caribou,science,5,7
disk,science,5,7
esophagus,science,5,7
extinction,science,5,7
koala,science,5,7
sexual,science,5,7
structural,science,5,7
vent,science,5,7
cellular,science,5,6
chemist,science,5,6
conductivity,science,5,6
discharge,science,5,6
estuary,science,5,6
hydroelectric,science,5,6
hydrosphere,science,5,6
limb,science,5,6
meteorite,science,5,6
microchip,science,5,6
nebula,science,5,6
stable,science,5,6
tectonic,science,5,6
vacuole,science,5,6
ventricle,science,5,6
zoologist,science,5,6
alcohol,science,5,5
angiosperm,science,5,5
antibiotic,science,5,5
bladder,science,5,5
brine,science,5,5
calcium,science,5,5
combustion,science,5,5
compress,science,5,5
concentration,science,5,5
digestion,science,5,5
dimple,science,5,5
excretory,science,5,5
finch,science,5,5
fungus,science,5,5
glassy,science,5,5
gradual,science,5,5
hormone,science,5,5
lithosphere,science,5,5
photon,science,5,5
plasma,science,5,5
pollinator,science,5,5
regulate,science,5,5
salinity,science,5,5
sublimation,science,5,5
sulfur,science,5,5
symbiosis,science,5,5
tablet,science,5,5
thickness,science,5,5
trachea,science,5,5
unicellular,science,5,5
urchin,science,5,5
valve,science,5,5
anemone,science,5,4
antelope,science,5,4
atrium,science,5,4
basalt,science,5,4
bioengineer,science,5,4
bleach,science,5,4
brightness,science,5,4
buildup,science,5,4
buoyancy,science,5,4
crescent,science,5,4
cyclone,science,5,4
decibel,science,5,4
donor,science,5,4
echolocation,science,5,4
epicenter,science,5,4
fragment,science,5,4
fuse,science,5,4
gel,science,5,4
genetic,science,5,4
impulse,science,5,4
indicator,science,5,4
infect,science,5,4
inflate,science,5,4
invasive,science,5,4
joule,science,5,4
larvae,science,5,4
liver,science,5,4
magnesium,science,5,4
meteoroid,science,5,4
microscopic,science,5,4
momentum,science,5,4
mucus,science,5,4
mutation,science,5,4
nonvascular,science,5,4
peat,science,5,4
ph,science,5,4
pouch,science,5,4
projection,science,5,4
reactants,science,5,4
sandpaper,science,5,4
setup,science,5,4
sieve,science,5,4
silicon,science,5,4
specimen,science,5,4
stomata,science,5,4
supernova,science,5,4
testable,science,5,4
transpiration,science,5,4
trench,science,5,4
troposphere,science,5,4
ultraviolet,science,5,4
ammonia,science,5,3
antacid,science,5,3
aquatic,science,5,3
archaea,science,5,3
asexually,science,5,3
astronomical,science,5,3
au,science,5,3
biceps,science,5,3
biology,science,5,3
bronchiole,science,5,3
bulge,science,5,3
cannonball,science,5,3
cavity,science,5,3
ccd,science,5,3
chromosome,science,5,3
clump,science,5,3
cobalt,science,5,3
collision,science,5,3
commensalism,science,5,3
constructive,science,5,3
cytoplasm,science,5,3
dicot,science,5,3
echinoderm,science,5,3
endocrine,science,5,3
exhale,science,5,3
furnace,science,5,3
gelatin,science,5,3
geologic,science,5,3
graphite,science,5,3
gymnosperm,science,5,3
hazard,science,5,3
infection,science,5,3
inorganic,science,5,3
interdependence,science,5,3
intertidal,science,5,3
iodine,science,5,3
kelp,science,5,3
marrow,science,5,3
mitochondria,science,5,3
monocot,science,5,3
mutualism,science,5,3
nekton,science,5,3
nylon,science,5,3
orchid,science,5,3
organelle,science,5,3
oxide,science,5,3
ozone,science,5,3
pedigree,science,5,3
pest,science,5,3
phonograph,science,5,3
phyla,science,5,3
plankton,science,5,3
polymer,science,5,3
protein,science,5,3
quake,science,5,3
reactive,science,5,3
riverbank,science,5,3
saltwater,science,5,3
sandstone,science,5,3
saturate,science,5,3
sensor,science,5,3
spruce,science,5,3
squid,science,5,3
stationary,science,5,3
sunspot,science,5,3
taxonomist,science,5,3
tendon,science,5,3
toxic,science,5,3
uranium,science,5,3
urine,science,5,3
veterinarian,science,5,3
volt,science,5,3
waterproof,science,5,3
zinc,science,5,3
abyssal,science,5,2
acidic,science,5,2
fullerene,science,5,2
lymph,science,5,2
penicillin,science,5,2
ribosome,science,5,2
rift,science,5,2
saliva,science,5,2
seawater,science,5,2
suspension,science,5,2
