version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 3,domains: science
,
Word,Domain,Grade,Grade 3 Frequency
ecosystem,science,3,91
organism,science,3,54
adaptation,science,3,40
signal,science,3,38
milliliter,science,3,34
electrical,science,3,28
cell,science,3,27
reproduce,science,3,27
potential,science,3,25
atmosphere,science,3,24
renewable,science,3,23
disease,science,3,22
vertebrate,science,3,22
wedge,science,3,22
absorb,science,3,21
circuit,science,3,21
nonrenewable,science,3,21
crane,science,3,20
iguana,science,3,20
kinetic,science,3,20
tortoise,science,3,20
kilometer,science,3,19
lava,science,3,18
male,science,3,18
axle,science,3,17
pressure,science,3,17
rattlesnake,science,3,17
refract,science,3,17
alligator,science,3,16
carbon,science,3,16
germinate,science,3,16
microscope,science,3,16
dioxide,science,3,15
invertebrate,science,3,15
roadrunner,science,3,15
wildfire,science,3,15
freshwater,science,3,14
mercury,science,3,14
panda,science,3,14
screw,science,3,14
germ,science,3,13
igneous,science,3,13
sedimentary,science,3,13
aluminum,science,3,12
condensation,science,3,12
copper,science,3,12
magma,science,3,12
offspring,science,3,12
beam,science,3,11
conductor,science,3,11
frequency,science,3,11
metamorphic,science,3,11
plateau,science,3,11
spore,science,3,11
steam,science,3,11
thermal,science,3,11
tube,science,3,11
battery,science,3,10
compost,science,3,10
crystal,science,3,10
density,science,3,10
gasoline,science,3,10
sensory,science,3,10
chameleon,science,3,9
cord,science,3,9
metamorphosis,science,3,9
silt,science,3,9
topsoil,science,3,9
comet,science,3,8
decay,science,3,8
insulator,science,3,8
magnetism,science,3,8
mold,science,3,8
tide,science,3,8
wetlands,science,3,8
algae,science,3,7
blast,science,3,7
blob,science,3,7
droplet,science,3,7
granite,science,3,7
groundwater,science,3,7
landslide,science,3,7
locust,science,3,7
magnify,science,3,7
marsh,science,3,7
photosynthesis,science,3,7
prototype,science,3,7
species,science,3,7
tundra,science,3,7
turbine,science,3,7
vaccine,science,3,7
bolt,science,3,6
coniferous,science,3,6
eruption,science,3,6
imprint,science,3,6
laboratory,science,3,6
magnetic,science,3,6
mantle,science,3,6
microwave,science,3,6
moist,science,3,6
moss,science,3,6
moth,science,3,6
nerve,science,3,6
salty,science,3,6
sediment,science,3,6
transfer,science,3,6
woodpecker,science,3,6
asteroid,science,3,5
bedrock,science,3,5
billion,science,3,5
binocular,science,3,5
carnivore,science,3,5
deposit,science,3,5
erode,science,3,5
fir,science,3,5
healthful,science,3,5
herbivore,science,3,5
landfill,science,3,5
mechanical,science,3,5
meteorologist,science,3,5
mimicry,science,3,5
mound,science,3,5
nectar,science,3,5
petal,science,3,5
pollinate,science,3,5
reef,science,3,5
reservoir,science,3,5
robotic,science,3,5
rod,science,3,5
spacecraft,science,3,5
stalk,science,3,5
vinegar,science,3,5
windmill,science,3,5
bacteria,science,3,4
bamboo,science,3,4
bobcat,science,3,4
cheetah,science,3,4
chimpanzee,science,3,4
coil,science,3,4
conifer,science,3,4
deciduous,science,3,4
diversity,science,3,4
dolphin,science,3,4
faucet,science,3,4
fertilize,science,3,4
fluid,science,3,4
fulcrum,science,3,4
gear,science,3,4
geologist,science,3,4
honeybee,science,3,4
horizon,science,3,4
intestine,science,3,4
kangaroo,science,3,4
limestone,science,3,4
magnolia,science,3,4
millimeter,science,3,4
newton,science,3,4
observatory,science,3,4
omnivore,science,3,4
ore,science,3,4
ostrich,science,3,4
perch,science,3,4
polio,science,3,4
pollination,science,3,4
rainwater,science,3,4
redesign,science,3,4
spoonful,science,3,4
stratus,science,3,4
subsoil,science,3,4
survival,science,3,4
termite,science,3,4
transparency,science,3,4
transport,science,3,4
virus,science,3,4
yeast,science,3,4
