version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 3,domains: science,,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade 3 Frequency,,,,,,,,
ecosystem,science,3,91,,MC,5,A. All the organisms in an ____ are part of an evolutionary continuum. B. Such a rich source of food gives an ____ almost as diverse as the Coral Seas.,*ecosystem,atmosphere,kinetic,reservoir
organism,science,3,54,,MC,5,A. It was an infectious ____ that he studied. B. This ____ is too small to be seen with the naked eye.,woodpecker,groundwater,*organism,transport
adaptation,science,3,40,,MC,5,A. This is an ____ of a novel for the scenario. B. The book described the ____ of desert species to the hot conditions.,germ,*adaptation,steam,landslide
signal,science,3,38,,MC,5,A. The ____ will be converted into digital code. B. They suffered from nervous tension when the ____ was shown on a radarscope.,nonrenewable,*signal,fulcrum,metamorphic
milliliter,science,3,34,,MC,5,A. A ounce ( 18____ ) serving of juice is the size of a small yogurt container. B. Each ____ of sheep or dog anti - rOspA serum could kill 10~Lyme disease spirochetes at most.,igneous,*milliliter,deposit,bedrock
electrical,science,3,28,,MC,5,A. Electric rays stun their prey with huge ____ discharges. B. We can transmute water power into ____ power.,*electrical,tube,survival,freshwater
cell,science,3,27,,MC,5,A. The prisoners had been transferred to a different ____ block. B. This ____ phone sure is hot stuff.,adaptation,*cell,insulator,germ
reproduce,science,3,27,,MC,5,A. These plants can ____ sexually and asexually. B. I shall not try to ____ the policemen's English.,billion,*reproduce,reservoir,atmosphere
potential,science,3,25,,MC,5,A. A number of ____ buyers have expressed interest in the company. B. The company is being actively considered as a ____ partner .,erode,*potential,spoonful,crane
atmosphere,science,3,24,,MC,5,A. Moisture in the ____ condensed into dew during the night. B. I was beguiled by the romance and exotic ____ of the souks in Marrakech.,sedimentary,rod,*atmosphere,stratus
renewable,science,3,23,,MC,5,A. Electricity companies pay a premium for ____ energy. B. He has carried out extensive research into ____ energy sources.,bedrock,*renewable,nerve,fulcrum
disease,science,3,22,,MC,5,A. A ____ known is half cured. B. To know the ____ is half the cure.,*disease,cheetah,tundra,offspring
vertebrate,science,3,22,,MC,5,A. Mosquitoes will feed on any ____ blood. B. Like some small ____ that lived outside.,prototype,*vertebrate,bobcat,dolphin
wedge,science,3,22,,MC,5,A. He is a fool that makes a ____ of his fist. B. I don't want to drive a ____ between the two of you .,photosynthesis,rattlesnake,*wedge,cheetah
absorb,science,3,21,,MC,5,A. We will not ____ these charges. B. Animals ____ foods into their bodies.,transfer,*absorb,faucet,billion
circuit,science,3,21,,MC,5,A. The ____ of the city walls is three miles. B. The earth takes a year to make a ____ of the sun.,survival,*circuit,pollinate,mercury
nonrenewable,science,3,21,,MC,5,A. Fossil fuels are ____ and rapidly running out. B. In this chapter we shall confine our attention to ____ energy sources.,bacteria,lava,crane,*nonrenewable
crane,science,3,20,,MC,5,A. The ____ lifted the container off the ship. B. A ____ was already unloading crates and pallets.,conductor,*crane,nerve,signal
iguana,science,3,20,,MC,5,A. The ____ clings to the temple wall. B. An ____ waits to be weighed and measured in the Rainforest Life area of ZSL London zoo as part of their annual weighing and measuring of their animals.,sensory,*iguana,chimpanzee,asteroid
kinetic,science,3,20,,MC,5,A. This tiny rock carries enough ____ energy to produce an explosion equivalent to several thousand tons of high explosives. B. It is well known in ____ theory that reaction rates Increase rapidly with increases in temperature.,conifer,*kinetic,cell,prototype
tortoise,science,3,20,,MC,5,A. The ____ wins the race while the hare is sleeping. B. The ____ crept along at an agonizingly slow speed.,*tortoise,axle,rainwater,cheetah
kilometer,science,3,19,,MC,5,A. A ____ is 100meters. B. The NEAs less than one ____ in diameter probably are incompletely covered by thin layers of regolith.,*kilometer,vaccine,plateau,perch
lava,science,3,18,,MC,5,"A. An immense volume of rocks and molten ____ was erupted. B. A volcano emits smoke, ____ and ashes.",*lava,chameleon,salty,sensory
male,science,3,18,,MC,5,A. These clubs are the last bastions of ____ privilege. B. The ____ bird performs a sort of mating dance before copulating with the fe____.,*male,conifer,polio,beam
axle,science,3,17,,MC,5,A. The rear ____ carries the greatest weight. Sentencedict.com B. It had a spring suspension ____ for which a fully automatic tracking ____ system is also available.,refract,compost,aluminum,*axle
pressure,science,3,17,,MC,5,"A. Don't fear ____, for ____ is what turns rough stones into diamonds. B. Apply ____ to the nose by pinching the nostrils firmly together.",density,marsh,*pressure,bedrock
rattlesnake,science,3,17,,MC,5,A. A huge ____ lay coiled on the blanket. B. A ____ is a really mean creature.,wildfire,kangaroo,*rattlesnake,transport
refract,science,3,17,,MC,5,A. The glass prism ____ed the white light into the colours of the rainbow. B. Light is ____ed when it is passed through a prism.,ore,deposit,*refract,potential
alligator,science,3,16,,MC,5,"A. He was grappling with an ____ in a lagoon. B. He held the cap with an ____ roach clip, they cooked up with his propane lighter.",circuit,microscope,marsh,*alligator
carbon,science,3,16,,MC,5,A. The leak led to a slow build-up of ____ dioxide. B. The ____1atoms oxidize to ____ dioxide which gets blown about and mixed up with lower atmosphere.,pollination,fluid,adaptation,*carbon
