version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 5,domains: science,,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade 5 Frequency,,,,,,,,
electron,science,5,45,,MC,5,"A. An ____ has a negative charge, a proton has a positive charge. B. Magnetic coils focus the ____ beams into fine spots.",cannonball,reactive,*electron,transpiration
resistance,science,5,22,,MC,5,A. The no-smoking policy was introduced with little ____ from staff. B. The enemy ____ thinned out as night approached.,vent,cobalt,*resistance,biceps
proton,science,5,19,,MC,5,"A. An electron has a negative charge, a ____ has a positive charge. B. The nucleus of a deuterium atom contains a ____ and a neutron.",animation,chemist,*proton,thickness
nonmetal,science,5,17,,MC,5,"A. The feature and application in satellite structure of ____ materials such as composite, adhesive agent, high polymer and industrial ceramic were introduced in this paper. B. The ____ material insulating part is an inner insulating sleeve of the main shaft, which is sleeved at the lower part of the rotor driving shaft.",cyclone,collision,*nonmetal,anaconda
sodium,science,5,16,,MC,5,A. Common salt is a compound of ____ and chlorine. B. Salt is a compound of ____ and chlorine.,bleach,meteorite,glassy,*sodium
vascular,science,5,15,,MC,5,"A. Migraines are a particularly intense kind of ____ headache. B. The ____ endothelium seems to produce superoxide in the inflamed mucosa, which would exacerbate tissue injury in ulcerative colitis.",multicellular,suspension,*vascular,transmit
animation,science,5,14,,MC,5,A. They used computer ____ in the film. B. They are full of ____ as they talked about their childhood.,saliva,prosthetic,ccd,*animation
phylum,science,5,14,,MC,5,"A. The mollusc ____ includes all soft - bodied animals without backbones. B. Members of the largest and most diverse ____ of animals , have segmented bodies and an external skeleton.",ozone,sublimation,*phylum,unicellular
artery,science,5,13,,MC,5,A. A muscular spasm in the coronary ____ can cause a heart attack. B. The knife severed an ____ and he bled to death.,estuary,geologic,malaria,*artery
niche,science,5,13,,MC,5,A. He had found his own little ____ in life. B. Amanda soon found her ____ at the club.,compress,atomic,*niche,kidney
respiration,science,5,13,,MC,5,A. She was given artificial ____ and cardiac massage. B. Her ____ was slow and difficult.,alcohol,recessive,graphite,*respiration
vein,science,5,13,,MC,5,A. The ____ at his temple throbbed angrily. B. A blue ____ throbbed in his forehead.,pollinator,*vein,infrared,chemistry
infrared,science,5,12,,MC,5,A. Their pilots are guided by an ____ optical system that shows images clearly even at night. B. Clearly ____ observations are set to make a large impact on astronomy and astrophysics during the next few years.,hydroelectric,esophagus,*infrared,thickness
malaria,science,5,12,,MC,5,A. He suffered an attack of ____ and was delirious. B. The older drugs didn't deal effectively with the ____ parasite.,*malaria,clump,sac,angiosperm
asexual,science,5,11,,MC,5,"A. We can not, then, say that ____ reproduction is cloning. B. Moreover, with strictly ____ reproduction, mutations will inevitably accumulate.",*asexual,embryo,extinction,reactive
