version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 9-12,domains: science,,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade 9-12 Frequency,,,,,,,,
mol,science,"9,10,11,12",354,,MC,5,"A. The term ____ -thus means per ____e of this specified equation. B. Due to the lower ____ ratio of the methyl carbonate to the glycerol, the consumption of the methyl carbonate is lowered.",differentiation,lymphocytes,*mol,configuration
molar,science,"9,10,11,12",258,,MC,5,"A. Bile salt and peptides were measured in ____ concentrations. B. Incisor digestion Incisor digestion complements the evidence of ____ digestion, but there are interesting differences.",emphysema,gastropod,repulsion,*molar
angular,science,"9,10,11,12",204,,MC,5,A. He has a more ____ figure than his father. B. He had an ____ face with prominent cheekbones.,*angular,disintegrate,phagocytosis,experimentally
configuration,science,"9,10,11,12",200,,MC,5,A. Geographers study the ____ of the mountains. B. Each study examines the effects of a specific ____ of some or all of the components of institutional design on democratic performance.,cropland,intron,*configuration,recombine
induce,science,"9,10,11,12",187,,MC,5,A. Taking a brisk walk can often ____ a feeling of well-being. B. Doctors said surgery could ____ a heart attack.,epidermal,amethyst,*induce,peptide
aqueous,science,"9,10,11,12",183,,MC,5,A. Distamycin A tends to lack stability in ____ solution and it is not recommended to store it in solution. B. The ____ phase of margarine contains water and / or milk or milk products.,australopithecine,galilean,monotreme,*aqueous
oxidize,science,"9,10,11,12",162,,MC,5,A. The carbon1atoms ____ to carbon dioxide which gets blown about and mixed up with lower atmosphere. B. Aluminium is rapidly ____d in air.,buffer,*oxidize,legume,songbird
redox,science,"9,10,11,12",129,,MC,5,A. This method applied into ____ computation program to call the standard electrode potential databases resolves the problem in configuring data source appropriately. B. A new algebraic method of balancing ____ reaction formulas is introduced.,analogous,*redox,adaptive,desalination
torque,science,"9,10,11,12",124,,MC,5,"A. The more ____ an engine has, the bigger the load it can pull in the same gear. B. There's good ____ for clean response and brisk pick-up after shifting gear, but high-end engine output is nothing startling.",appendicular,disulfide,*torque,nondisjunction
entropy,science,"9,10,11,12",112,,MC,5,A. They therefore have a higher ____ after mixing. B. The hours slid slowly down the great ____ slope of the universe.,diarrhea,refrigerant,*entropy,updraft
productivity,science,"9,10,11,12",107,,MC,5,A. The average yearly increment in labour ____ in industry was 4.per cent. B. The size of the crop depends on the ____ of the soil.,elongation,parathyroid,apoptosis,*productivity
gamete,science,"9,10,11,12",106,,MC,5,"A. From this viewpoint, ____s and the genes they carry are merely a device whereby organisms produce offspring like themselves. B. Females, producing large, non-motile ____s, have evolved many times.",*gamete,oceanography,pushpin,intrinsic
alkane,science,"9,10,11,12",103,,MC,5,"A. A radioactive decay series; the paraffin ____ series. B. It usually consists of ____ hydrocarbons and is used for coating and sealing, for candles, and in floor wax es, lubricants, waterproofing agents, and cosmetics.",*alkane,spawn,induction,eccentricity
quantum,science,"9,10,11,12",103,,MC,5,A. Both ____ mechanics and chaos theory suggest a world constantly in flux. B. There has been a ____ leap in the range of the wines sold in the UK.,stoma,*quantum,phototropism,leech
disperse,science,"9,10,11,12",99,,MC,5,A. Police used tear gas to ____ the demonstrators. B. Police used tear gas to ____ the crowd.,adiabatic,bombard,*disperse,chisel
ionization,science,"9,10,11,12",98,,MC,5,A. Widespread ____ occurs readily in the Earth's upper atmosphere. B. The Doctor had mentioned ____ when they'd first entered the Operations Room; ____ caused by electrical activity.,trimester,transgenic,*ionization,supercluster
sublevel,science,"9,10,11,12",97,,MC,5,A. They are both composed of swarms of ____ things. B. Non-pillar ____ caving may be used in the mining of gently inclined medium thick orebody when footwall cutting technology is adopted.,*sublevel,substituent,payload,lepton
buffer,science,"9,10,11,12",96,,MC,5,A. Eastern Europe was important to Russia as a ____ against the West. B. Turkey and Greece were ____ states against the former Soviet Union.,ether,icecap,*buffer,thylakoid
cathode,science,"9,10,11,12",96,,MC,5,"A. On average, the electrons travel from the ____ to the anode. B. The palladium ____ was charged with dissolved hydrogen.",biogeochemical,*cathode,anemia,testosterone
induction,science,"9,10,11,12",96,,MC,5,A. His ____ as a teacher was a turning point in his life. B. Their ____ into the church took place in June.,disaccharide,*induction,inhibit,endosperm
enthalpy,science,"9,10,11,12",95,,MC,5,"A. The standard molar ____ of formation could have two different values depending on how we write the equation. B. Thus, energy or ____ change alone can not help us to predict whether a reaction will occur or not.",jurassic,floodplain,stromatolite,*enthalpy
capacitor,science,"9,10,11,12",94,,MC,5,"A. Of course, eventually the samples reach the last ____ in the chain, where they provide the output signal before being discarded. B. Connecting a diode in parallel with the ____ C converts the astable multivibrator into a monostable multivibrator with one stable state.",physiological,yolk,stellar,*capacitor
anion,science,"9,10,11,12",92,,MC,5,"A. The ____ gap is 3mEq / l, which is 1mEq / t higher than normal. B. Thus, chronic respiratory alkalosis can be differentiated from ____ gap metabolic acidosis on this basis.",dehydration,*anion,schematic,catapult
cation,science,"9,10,11,12",91,,MC,5,A. Iron is present in the serum as a ____ and does not contribute. 261. B. Magnesium is the fourth most abundant ____ in the body and is second only to potassium in intracellular concentration.,*cation,monotreme,manganese,lysogenic
fringe,science,"9,10,11,12",91,,MC,5,A. She has a ____ and glasses. B. The company plans to beef up our ____ benefit.,lymphocytes,heterotrophic,nondisjunction,*fringe
soluble,science,"9,10,11,12",91,,MC,5,A. Uranium is ____ in sea water. B. It is a highly ____ gas.,chromatic,*soluble,ethyne,supercluster
ionize,science,"9,10,11,12",87,,MC,5,"A. But they do not "" ____ , ""'structure, "" "" cluster "" or "" magnetize "" water, as various manufacturers claim. B. Most inorganic salts ____ in water solution.",*ionize,lemur,scalpel,alignment
molarity,science,"9,10,11,12",81,,MC,5,"A. Your goal is to report the ____ of the hydrochloric acid and the ____ of the phosphoric acid in the mixture, with their uncertainties. B. The variation trend of MDA ____ showed a similarity with the trend of membrane permeability, i. e. both its quality scores and permeability increased with the strengthening of drought degree.",hepatitis,*molarity,benzene,translational
isomers,science,"9,10,11,12",79,,MC,5,A. Such ____ are called enantiomers and molecules that have enantiomers are said to be chiral or to show chirality. B. Different ____ of trichlorophenol exist according to which ring positions on the phenol contain chlorine atoms.,orangutan,*isomers,phototropism,riverbed
grate,science,"9,10,11,12",76,,MC,5,A. Their rude manners ____ on us. B. After a while her voice really started to ____ on me.,municipality,*grate,buckyball,adenosine
sucrose,science,"9,10,11,12",76,,MC,5,"A. They also tripled the concentration of the ____ in the solution the eggs are exposed to during freezing. B. On hydrolysis, ____ will yield molecule of glucose and I molecule of fructose.",*sucrose,emulsion,undigested,hypotonic
harmonic,science,"9,10,11,12",75,,MC,5,"A. The same is true where ____ colour is to be a prominent feature of the music. B. Miller solos are complex and radiant; his ____ support for the group, magnificent.",coordination,*harmonic,kiwi,caecilian
spectra,science,"9,10,11,12",73,,MC,5,"A. As agreement between calculated and experimental I-V ____ is good, this method is clearly viable for the analysis of experimental data. B. Oxidative charge-transfer processes are observed in the ____ of complexes of low oxidation state metals with organic amines, such as.",configuration,chitin,*spectra,stabilization
