version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 2,domains: science,,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade 2 Frequency,,,,,,,,
penguin,science,2,32,,MC,5,A. There was this running gag about a ____ (they kept telling ____ jokes ). B. The ____ is a flightless bird.,healthy,current,*penguin,condense
landform,science,2,28,,MC,5,"A. There are places on Earth today that may bear a close resemblance to the Antarctic ____ back then. B. On the basis of the actual field ____ and topography, a simulation test was modeled using similarity theorem.",amphibian,mentally,*landform,oral
mineral,science,2,27,,MC,5,A. The country's strong economy was built on its ____ wealth. B. The country possesses rich ____ deposits.,*mineral,rhythm,pollution,earthquake
dinosaur,science,2,24,,MC,5,A. We can only guess how fast a ____ might have run. B. We reconstructed what the ____ looked like from a few of its bones.,condense,*dinosaur,reflection,human
tornado,science,2,21,,MC,5,A. The ____ pulled up the old tree by its roots. B. The town was hit by a ____ last night.,loam,hibernate,skeleton,*tornado
hurricane,science,2,19,,MC,5,A. After a ____ comes a rainbow. B. The ____ left a trail of destruction behind it.,ramp,*hurricane,otter,dye
solar,science,2,19,,MC,5,A. The crash of the whole ____ and stellar systems could only kill you once. B. Pluto is the farthest planet in the ____ system.,particle,current,*solar,tilt
adapt,science,2,18,,MC,5,"A. When children go to a different school, it usually takes them a while to ____. B. The reasonble man ____s himself to the world.",boil,*adapt,boulder,pollution
orbit,science,2,18,,MC,5,A. Time ____ we just one solitude of the subway. B. They put a weather satellite into ____ round the earth.,astronomer,jellyfish,texture,*orbit
trait,science,2,18,,MC,5,"A. Sincerity, a deep genuine, heart-felt sincerity, is a ____ of true and noble manhood. B. Persistence is the common ____ of anyone who has had a significant impact on the world.",pollute,muscle,skeleton,*trait
beak,science,2,17,,MC,5,A. I could just see the bird's open ____ and small beady eyes. B. The male's orange ____ differentiates it from the female.,contraction,crater,whale,*beak
oil,science,2,17,,MC,5,A. Pouring ____ on the fire is no way to quench it. B. A little bit of ____ works wonders on squeaky hinges.,friction,*oil,chipmunk,coyote
shark,science,2,17,,MC,5,A. We could see the fin of a ____ as it slowly circled our boat. B. The ____ described a circle around the shoal of fish.,zebra,ramp,earthquake,*shark
zone,science,2,16,,MC,5,A. Government officials visited the earthquake ____ on Thursday morning to co-ordinate the relief effort. B. This economic ____ has attracted many foreign investors.,dinosaur,constellation,*zone,particle
backbone,science,2,15,,MC,5,A. Agriculture used to be the economic ____ of this country. B. She stood with her ____ rigid.,backbone,*backbone,strand,compass
climate,science,2,15,,MC,5,A. An abnormal ____ stunted the crops. B. We need to assess the impact on ____ change.,coral,backbone,hibernate,*climate
vibrate,science,2,15,,MC,5,A. The whole station seemed to ____ as the express train rushed through. B. The atmosphere seemed to ____ with tension.,*vibrate,dinosaur,evaporation,tilt
whale,science,2,15,,MC,5,A. That's a ____ of a story. B. He uses his daily column to ____ away at the war.,boil,*whale,texture,coral
amphibian,science,2,14,,MC,5,"A. In consequence, ____ fossils become very scarce indeed in later geological periods and there are long gaps in their fossil history. B. But no ____ can truthfully be described as nimble and for hunting they have to rely on something other than agility their tongue.",pollute,footprint,climate,*amphibian
palm,science,2,14,,MC,5,A. Know something like the ____ of one's hand. B. He held up a ____ for silence.,*palm,palm,loam,astronomer
rhythm,science,2,14,,MC,5,A. He had no sense of ____ whatsoever. B. The boat rocked up and down in ____ with the sea.,backbone,glacier,*rhythm,conservation
volcano,science,2,14,,MC,5,A. Lava from the ____ was flowing down the hillside. B. The long-dormant ____ has recently shown signs of erupting.,physical,*volcano,landform,tilt
cactus,science,2,13,,MC,5,A. It was the first year that the ____ had produced flowers. B. He walked between the pines and the ____ as if he were out for a stroll round his estate after dinner.,*cactus,precipitation,conservation,satellite
healthy,science,2,13,,MC,5,A. A ____ mind is in a ____ body. B. A good ____ body is worth more a crown in gold.,condense,hurricane,equator,*healthy
human,science,2,13,,MC,5,"A. The ____ species, according to the best theory I can form of it, is composed of two distinct races, the man who borrows, and the man who lends. B. Custom, then is the great guide of ____ life.",human,zebra,*human,skeleton
constellation,science,2,12,,MC,5,A. The Little Bear ____ is still used by navigators at sea. B. An unwary observer could easily mistake this ____ for a comet.,*constellation,dinosaur,glacier,astronomer
pollen,science,2,12,,MC,5,"A. Avoid trips to the country while the ____ count is high. B. As the day goes on, the ____ dries up and becomes hard.",pollen,*pollen,oil,hibernate
compound,science,2,11,,MC,5,"A. Common salt is a ____ of sodium and chlorine. B. If you take this action, it will only ____ your problems.",*compound,climate,tilt,wire
oxygen,science,2,11,,MC,5,A. Hydrogen and ____ combine to form water. B. Fish take in ____ through their gills.,polar,*oxygen,vibration,equator
physical,science,2,11,,MC,5,A. He had a ____ strength that matched his outward appearance. B. He tends to avoid all ____ contact.,camouflage,vibrate,*physical,manatee
compass,science,2,10,,MC,5,A. A ____ shows you which direction is north. B. Use your ____ to bisect an angle.,extinct,human,pupa,*compass
footprint,science,2,10,,MC,5,A. The additional upstream ____ due to wild type RNA polymerase is indicated by the dashed bracket. B. Her ____ was stencilled across the thick hand-made paper.,landform,*footprint,equator,decompose
muscle,science,2,10,,MC,5,A. The ____ fibre of this animal is diseased. B. His thigh ____ gave a sudden jerk.,*muscle,oxygen,earthquake,pollute
oral,science,2,10,,MC,5,A. We're having an ____ test this week. B. He passed his French ____ examination.,lung,physical,*oral,oxygen
